The	O
plot	O
focuses	O
on	O
the	O
lives	O
of	O
the	O
soon	O
to	O
be	O
married	O
Stefan	PERSON
-LRB-	O
Felix	PERSON
Klare	PERSON
-RRB-	O
,	O
a	O
German	O
working	O
in	O
Romania	LOCATION
for	O
a	O
wealthy	O
and	O
eccentric	O
printing	O
company	O
owner	O
,	O
Nicu	PERSON
Iorga	PERSON
-LRB-	O
Răzvan	PERSON
Vasilescu	PERSON
-RRB-	O
and	O
his	O
soon-to-be	O
bride	O
Brindusa	PERSON
-LRB-	O
Alexandra	PERSON
Maria	PERSON
Lara	PERSON
-RRB-	O
,	O
who	O
is	O
Nicu	PERSON
's	O
secretary	O
.	O

Life	O
seems	O
great	O
for	O
both	O
of	O
them	O
,	O
despite	O
the	O
eminent	O
long	O
affair	O
that	O
Nicu	PERSON
had	O
with	O
Brindusa	PERSON
.	O

All	O
the	O
preparations	O
are	O
made	O
for	O
the	O
wedding	O
,	O
Stefan	PERSON
's	O
family	O
arrives	O
,	O
and	O
the	O
son-to-be	O
bride	O
and	O
groom	O
buy	O
their	O
wedding	O
attire	O
.	O

A	O
newly	O
arrived	O
German	O
-LRB-	O
who	O
was	O
set	O
to	O
replace	O
Stefan	PERSON
at	O
the	O
printing	O
company	O
due	O
to	O
a	O
fight	O
with	O
Nicu	PERSON
-RRB-	O
Peter	PERSON
Gross	PERSON
-LRB-	O
Bruno	PERSON
Cathomas	PERSON
-RRB-	O
is	O
invited	O
to	O
the	O
wedding	O
after	O
he	O
becomes	O
friends	O
with	O
both	O
Stefan	PERSON
and	O
Brindusa	PERSON
.	O

Nicu	PERSON
,	O
armed	O
with	O
a	O
gun	O
-LRB-	O
and	O
accompanied	O
by	O
several	O
henchmen	O
-RRB-	O
,	O
crashes	O
the	O
wedding	O
ceremony	O
and	O
threatens	O
everyone	O
present	O
,	O
including	O
Stefan	PERSON
's	O
father	O
Ernst	PERSON
-LRB-	O
Manfred	PERSON
Zapatka	PERSON
-RRB-	O
and	O
Brindusa	PERSON
's	O
father	O
Mr.	O
Hergehelegiu	PERSON
.	O

He	O
even	O
punches	O
Peter	PERSON
in	O
the	O
nose	O
,	O
after	O
which	O
he	O
shoots	O
himself	O
and	O
is	O
taken	O
to	O
the	O
hospital	O
.	O

At	O
the	O
hospital	O
,	O
Brindusa	PERSON
tells	O
Stefan	PERSON
that	O
he	O
should	O
go	O
to	O
Germany	LOCATION
to	O
pursue	O
a	O
better	O
life	O
,	O
revealing	O
to	O
him	O
that	O
she	O
still	O
has	O
feelings	O
for	O
Nicu	PERSON
.	O

Although	O
it	O
is	O
not	O
stated	O
in	O
the	O
movie	O
,	O
it	O
is	O
assumed	O
Nicu	PERSON
survives	O
the	O
gunshot	O
.	O

The	O
film	O
ends	O
with	O
an	O
enraged	O
Stefan	PERSON
asking	O
Peter	PERSON
about	O
his	O
nose	O
just	O
outside	O
the	O
hospital	O
,	O
after	O
which	O
they	O
go	O
down	O
the	O
road	O
.	O

